"지점","지점명","일시","기온(°C)","풍속(m/s)","풍향(16방위)","습도(%)","전운량(10분위)","dangjin"
"129","서산","2018-03-01 00:00","3.1","3.6","340","96","","0"
"129","서산","2018-03-01 01:00","2.8","0.7","140","97","","0"
"129","서산","2018-03-01 02:00","2.6","3.2","320","95","","0"
"129","서산","2018-03-01 03:00","2","1.9","230","97","","0"
"129","서산","2018-03-01 04:00","2.2","2.1","180","97","","0"
"129","서산","2018-03-01 05:00","4.1","4.4","270","97","","0"
"129","서산","2018-03-01 06:00","3.5","7.9","320","93","","0"
"129","서산","2018-03-01 07:00","2.2","6.4","290","86","","0"
"129","서산","2018-03-01 08:00","1","7.7","320","82","","37"
"129","서산","2018-03-01 09:00","0.3","8.9","320","71","","318"
"129","서산","2018-03-01 10:00","0.6","7.9","320","63","","490"
"129","서산","2018-03-01 11:00","0.5","9.1","320","58","","550"
"129","서산","2018-03-01 12:00","0.7","6.7","320","60","","727"
"129","서산","2018-03-01 13:00","1.5","6.5","320","60","","733"
"129","서산","2018-03-01 14:00","0.1","5.1","340","56","","672"
"129","서산","2018-03-01 15:00","0.4","5","320","56","","546"
"129","서산","2018-03-01 16:00","0.3","6","290","56","","364"
"129","서산","2018-03-01 17:00","-0.5","4.6","320","59","","110"
"129","서산","2018-03-01 18:00","-1.3","5.4","290","62","","0"
"129","서산","2018-03-01 19:00","-1.7","4.4","320","63","","0"
"129","서산","2018-03-01 20:00","-1.8","4.3","320","63","","0"
"129","서산","2018-03-01 21:00","-1.8","4.7","320","61","","0"
"129","서산","2018-03-01 22:00","-1.9","3.3","320","60","","0"
"129","서산","2018-03-01 23:00","-2.3","3.7","340","55","","0"
"129","서산","2018-03-02 00:00","-2.7","3.7","360","56","","0"
"129","서산","2018-03-02 01:00","-2.8","3.8","360","53","","0"
"129","서산","2018-03-02 02:00","-3.2","2.5","360","52","","0"
"129","서산","2018-03-02 03:00","-3.5","2.6","20","50","","0"
"129","서산","2018-03-02 04:00","-4.2","1.4","50","55","","0"
"129","서산","2018-03-02 05:00","-5.1","0.8","70","59","","0"
"129","서산","2018-03-02 06:00","-6.3","0.6","360","75","","0"
"129","서산","2018-03-02 07:00","-7.1","0.3","0","83","","4"
"129","서산","2018-03-02 08:00","-5.7","0.8","200","76","","154"
"129","서산","2018-03-02 09:00","-3.2","1","230","53","","367"
"129","서산","2018-03-02 10:00","-1.5","1.9","250","47","","539"
"129","서산","2018-03-02 11:00","-0.7","1.4","250","29","","644"
"129","서산","2018-03-02 12:00","1.3","2.2","250","38","","709"
"129","서산","2018-03-02 13:00","2.7","1.5","340","22","","739"
"129","서산","2018-03-02 14:00","4.3","1.6","50","23","","693"
"129","서산","2018-03-02 15:00","5.4","1.8","320","25","","583"
"129","서산","2018-03-02 16:00","5.9","2","290","26","","409"
"129","서산","2018-03-02 17:00","3.1","3.6","340","50","","125"
"129","서산","2018-03-02 18:00","1.6","1.4","360","53","","0"
"129","서산","2018-03-02 19:00","-0.1","1.2","340","61","","0"
"129","서산","2018-03-02 20:00","-0.9","1.2","50","64","","0"
"129","서산","2018-03-02 21:00","-1.3","1.1","50","66","","0"
"129","서산","2018-03-02 22:00","-0.7","0.2","0","68","","0"
"129","서산","2018-03-02 23:00","-0.3","0.3","0","65","","0"
"129","서산","2018-03-03 00:00","-0.2","0","0","67","","0"
"129","서산","2018-03-03 01:00","0.1","0","0","68","","0"
"129","서산","2018-03-03 02:00","0.1","1.2","90","65","","0"
"129","서산","2018-03-03 03:00","0.4","0.4","0","68","","0"
"129","서산","2018-03-03 04:00","0.1","0.1","0","72","","0"
"129","서산","2018-03-03 05:00","-0.5","0.1","0","77","","0"
"129","서산","2018-03-03 06:00","-1.4","0.3","0","77","","0"
"129","서산","2018-03-03 07:00","-2.1","1.1","20","83","","5"
"129","서산","2018-03-03 08:00","-0.6","0.5","360","70","","133"
"129","서산","2018-03-03 09:00","2.9","0.4","0","48","","335"
"129","서산","2018-03-03 10:00","6.1","1","20","27","","501"
"129","서산","2018-03-03 11:00","9.1","0.7","160","23","","602"
"129","서산","2018-03-03 12:00","11.6","2.7","250","25","","646"
"129","서산","2018-03-03 13:00","12.8","3.9","200","12","","642"
"129","서산","2018-03-03 14:00","13.6","3.8","230","11","","474"
"129","서산","2018-03-03 15:00","13.8","4","200","19","","491"
"129","서산","2018-03-03 16:00","14.6","2.7","200","31","","363"
"129","서산","2018-03-03 17:00","13.3","3.5","200","53","","118"
"129","서산","2018-03-03 18:00","11.7","2.5","230","62","","0"
"129","서산","2018-03-03 19:00","9.6","2.3","160","67","","0"
"129","서산","2018-03-03 20:00","8.9","1.7","160","68","","0"
"129","서산","2018-03-03 21:00","8.3","0.7","110","74","","0"
"129","서산","2018-03-03 22:00","8.4","0.5","180","74","","0"
"129","서산","2018-03-03 23:00","8.9","0.7","140","70","","0"
"129","서산","2018-03-04 00:00","8.6","0.9","90","72","","0"
"129","서산","2018-03-04 01:00","8.4","0.3","0","75","","0"
"129","서산","2018-03-04 02:00","8.2","0.2","0","77","","0"
"129","서산","2018-03-04 03:00","8.9","1.6","160","77","","0"
"129","서산","2018-03-04 04:00","9","0.5","180","78","","0"
"129","서산","2018-03-04 05:00","9.1","1.6","160","82","","0"
"129","서산","2018-03-04 06:00","8.9","1.1","200","85","","0"
"129","서산","2018-03-04 07:00","7.6","1.2","250","97","","0"
"129","서산","2018-03-04 08:00","7.8","0.1","0","98","","0"
"129","서산","2018-03-04 09:00","8.3","0.9","360","98","","129"
"129","서산","2018-03-04 10:00","9.8","1.1","110","98","","157"
"129","서산","2018-03-04 11:00","11.8","1","340","93","","212"
"129","서산","2018-03-04 12:00","13.6","2","360","83","","51"
"129","서산","2018-03-04 13:00","13.9","3.2","360","78","","22"
"129","서산","2018-03-04 14:00","13.1","3.3","360","80","","122"
"129","서산","2018-03-04 15:00","14.6","2.7","360","75","","85"
"129","서산","2018-03-04 16:00","13.9","2.4","20","78","","38"
"129","서산","2018-03-04 17:00","14","3.1","50","79","","0"
"129","서산","2018-03-04 18:00","13.1","1.9","20","84","","0"
"129","서산","2018-03-04 19:00","12.9","3.6","20","82","","0"
"129","서산","2018-03-04 20:00","11.4","2.4","360","94","","0"
"129","서산","2018-03-04 21:00","8.7","4.5","360","98","","0"
"129","서산","2018-03-04 22:00","8.6","4.6","360","98","","0"
"129","서산","2018-03-04 23:00","8.9","4","20","98","","0"
"129","서산","2018-03-05 00:00","8.8","3.5","20","98","","0"
"129","서산","2018-03-05 01:00","8.5","3.9","20","98","","0"
"129","서산","2018-03-05 02:00","9.3","3.4","50","98","","0"
"129","서산","2018-03-05 03:00","8.6","4.5","20","98","","0"
"129","서산","2018-03-05 04:00","7.6","4.4","50","98","","0"
"129","서산","2018-03-05 05:00","6.6","4.3","20","96","","0"
"129","서산","2018-03-05 06:00","5.8","4.2","50","96","","0"
"129","서산","2018-03-05 07:00","5.3","3.3","50","93","","0"
"129","서산","2018-03-05 08:00","5.2","4.3","50","86","","5"
"129","서산","2018-03-05 09:00","5.2","5","20","84","","124"
"129","서산","2018-03-05 10:00","5.3","4.2","20","84","","317"
"129","서산","2018-03-05 11:00","6.1","5.5","20","73","","264"
"129","서산","2018-03-05 12:00","6.7","3.7","20","70","","397"
